"","Br10_3_1","Br10_3_2","Br10_3_3","Br15_3_1","Br15_3_2","Br15_3_3","Br3_3_1","Br3_3_2","Br3_3_3","Br7_3_1","Br7_3_2","Br7_3_3","MG_3_1","MG_3_2","MG_3_3","QC1","QC2","QC3"
"Citropten","1187795"," 837388"," 651680"," 829916","1710285","1809332"," 784228","1030943","1439915"," 850876"," 917539","1250844"," 568922","  87105"," 757259"," 788813","1090113"," 798313"
"Ethyl ?-D-ribo-hex-3-ulopyranoside","779532","973517","901636","1372771","860842","1061696","1857982","697665","107354","991338","938565","665139","1644157","N/F","451451","1245173","N/F","N/F"
"Hydroxycitric acid","6164467","5846140","4858012","3441793","2753310","2629870","4852199","2774044","2600439","5427519","4840207","4210764","1825042","1745996","1482838","8229881","6580072","6020731"
"dihydrolipoate"," 62450689","  6674341","  6327679"," 57978266"," 58273754"," 64318530","106515069"," 60714975"," 55342565"," 39748047"," 70930937","  9039692","136054877","107848646"," 89007711"," 48758733","109811517"," 95980691"
"4-(3,4-Dimethoxyphenyl)-3-buten-1-ol","6123412","5934687","6267763","5467332","5705665","6319776","5592383","5339240","5564207","5417369","5180532","5839211","5442365","5261518","5552790","5657064","5187283","5082703"
"Asarone","6123412","5934687","6267763","5467332","5705665","6319776","5592383","5339240","5564207","5417369","5180532","5839211","5442365","5261518","5552790","5657064","5187283","5082703"
"Beta-Asarone","6123412","5934687","6267763","5467332","5705665","6319776","5592383","5339240","5564207","5417369","5180532","5839211","5442365","5261518","5552790","5657064","5187283","5082703"
"Ethyl 3-(4-methoxyphenyl)propanoate","6123412","5934687","6267763","5467332","5705665","6319776","5592383","5339240","5564207","5417369","5180532","5839211","5442365","5261518","5552790","5657064","5187283","5082703"
"Isoelemicin","6123412","5934687","6267763","5467332","5705665","6319776","5592383","5339240","5564207","5417369","5180532","5839211","5442365","5261518","5552790","5657064","5187283","5082703"
"Primin","6123412","5934687","6267763","5467332","5705665","6319776","5592383","5339240","5564207","5417369","5180532","5839211","5442365","5261518","5552790","5657064","5187283","5082703"
"Senkyunolide G","6123412","5934687","6267763","5467332","5705665","6319776","5592383","5339240","5564207","5417369","5180532","5839211","5442365","5261518","5552790","5657064","5187283","5082703"
"Cerberic acid B","3635404","2712576","5835341","6735228","2689620","3573176","2256847","2222100","1750303","4321069","1368005","2454062"," 870327"," 792345"," 251465","5771949","1707855","1967694"
"1,3,9-Trimethyluric acid","53322618","55492486","48402794","45120730","37289180","37636121","35173716","24610921","25749536","32206565","39187945","33970764","26886847","21214318","32494735","26974129","29417914","23076324"
"2',4',6'-Trimethoxyacetophenone","8115281","4482051","8384597","5934209","5328053","5395781","131662","131893","176013","6608431","3253220","2322653","N/F","N/F","44760","644758","573932","685601"
"2-Methyl-4-isobutyrylphloroglucinol","8115281","4482051","8384597","5934209","5328053","5395781","131662","131893","176013","6608431","3253220","2322653","N/F","N/F","44760","644758","573932","685601"
"Ethyl p-hydroxyphenyllactate","8115281","4482051","8384597","5934209","5328053","5395781","131662","131893","176013","6608431","3253220","2322653","N/F","N/F","44760","644758","573932","685601"
"Vibralactone D","11832572","9864335","14242395","2379336","4550860","5185538","181408","167572","35991","4032645","2028750","2445320","52120","26994","N/F","276954","342229","279426"
"Oxyphyllenone A","11832572","9864335","14242395","2379336","4550860","5185538","181408","167572","35991","4032645","2028750","2445320","52120","26994","N/F","276954","342229","279426"
"Kainic acid","53315","36491","N/F","95536","114053","197806","76313","97590","75337","15157","N/F","N/F","14080","9383","124843","90555","36120","N/F"
"Deoxyribose 1-phosphate/1-Deoxy-D-xylulose 5-phosphate"," 9637493"," 7933678"," 8817907"," 8361142"," 6440461"," 5061898"," 4405239"," 5471668"," 4075593"," 8629770","10996883"," 6012330"," 1737658"," 2042169"," 1717794"," 4315343"," 3325090"," 3675880"
"Kinetin"," 900814","1034737"," 954732","2098942","1001190","2705863","1394576"," 748318"," 621324","1089177","1163284"," 526384"," 222252"," 153361"," 146364"," 930877"," 369603"," 518816"
"Val-Val"," 5453483"," 6096830"," 5880359"," 9453568"," 6846234","11052367"," 3372194"," 3431044"," 5552308"," 3538004"," 3192059"," 4748307"," 4644814"," 4826703"," 7863114"," 5372093"," 4840476"," 5012490"
"Glu-Ala","1489645","882804","1337706","650365","881449","1468596","2359414","2348852","N/F","1238734","377566","851353","1241082","300899","298443","4612993","5139509","4945823"
"Ala-Glu","1489645","882804","1337706","650365","881449","1468596","2359414","2348852","N/F","1238734","377566","851353","1241082","300899","298443","4612993","5139509","4945823"
"5-L-Glutamyl-L-alanine","2197169","1114416","1337706","1639271"," 881449","1468596","2680894","2348852"," 296878","1238734"," 831069","1122912","1241082"," 300899"," 298443","4639149","5139509","4945823"
"Shikimic acid_HCOO","2335650"," 213877","2156003"," 288035","2141471","2950976","1503998"," 366879"," 746270","1811893","1450358","1940650"," 406755"," 287210"," 140853"," 160034"," 217097"," 359261"
"Cys-Val"," 816741.0"," 701994.2"," 707682.8","1795723.9","1086736.6"," 894606.3"," 665006.2"," 441045.6"," 529992.2"," 564226.5"," 346700.1"," 311415.8"," 400714.1"," 114020.4"," 278476.5"," 232533.4"," 394439.7"," 398123.7"
"Met-Ala"," 816741.0"," 701994.2"," 707682.8","1795723.9","1086736.6"," 894606.3"," 665006.2"," 441045.6"," 529992.2"," 564226.5"," 346700.1"," 311415.8"," 400714.1"," 114020.4"," 278476.5"," 232533.4"," 394439.7"," 398123.7"
"Val-Cys"," 816741.0"," 701994.2"," 707682.8","1795723.9","1086736.6"," 894606.3"," 665006.2"," 441045.6"," 529992.2"," 564226.5"," 346700.1"," 311415.8"," 400714.1"," 114020.4"," 278476.5"," 232533.4"," 394439.7"," 398123.7"
"Ala-Met"," 64581","100977","587510","382219","719785","261124","659658","405202","511672","338821","322970","482971","315911","291428","214149","180607","162120","134124"
"Fraxinol","3297343","4884205","2573641","6989757","6869953","7316391"," 659612"," 437048"," 556751","1394824","2018650","1057777"," 108023","  74708","  92413","1292031"," 804996","1175010"
"Isofraxidin","3297343","4884205","2573641","6989757","6869953","7316391"," 659612"," 437048"," 556751","1394824","2018650","1057777"," 108023","  74708","  92413","1292031"," 804996","1175010"
"Tomentin","3297343","4884205","2573641","6989757","6869953","7316391"," 659612"," 437048"," 556751","1394824","2018650","1057777"," 108023","  74708","  92413","1292031"," 804996","1175010"
"Fraxidin","3297343","4884205","2573641","6989757","6869953","7316391"," 659612"," 437048"," 556751","1394824","2018650","1057777"," 108023","  74708","  92413","1292031"," 804996","1175010"
"N-Acetyl-L-tyrosine","1446307","1686308","1230980","2494001","1457172","3515557","1191652"," 892347","1014449","1364838","1038418","1339186"," 754065"," 795485","1056871"," 978725"," 697357"," 758466"
"N-Carbobenzyloxy-L-alanine","1446307","1686308","1230980","2494001","1457172","3515557","1191652"," 892347","1014449","1364838","1038418","1339186"," 754065"," 795485","1056871"," 978725"," 697357"," 758466"
"Gardenine","1446307","1686308","1230980","2494001","1457172","3515557","1191652"," 892347","1014449","1364838","1038418","1339186"," 754065"," 795485","1056871"," 978725"," 697357"," 758466"
"Cys-Cys","8337655","7295683","8241298","6086937","3555690","5895151","2807496","3191872","3785048","5421026","5237159","6107015","2400746","3105908","3193206","4467529","3031422","4291652"
"4,15-Dinor-3-hydroxy-1(5)-xanthen-12,8?-olide","2397509","2101066","3356454","1063730","1786699","1464861"," 191785","  52133"," 103267","1052707"," 737000"," 915704","  27743","  40530","  61055"," 326971"," 157311"," 208098"
"Apocynol A","2397509","2101066","3356454","1063730","1786699","1464861"," 191785","  52133"," 103267","1052707"," 737000"," 915704","  27743","  40530","  61055"," 326971"," 157311"," 208098"
"Corchoionol C","2397509","2101066","3356454","1063730","1786699","1464861"," 191785","  52133"," 103267","1052707"," 737000"," 915704","  27743","  40530","  61055"," 326971"," 157311"," 208098"
"Vomifoliol","2397509","2101066","3356454","1063730","1786699","1464861"," 191785","  52133"," 103267","1052707"," 737000"," 915704","  27743","  40530","  61055"," 326971"," 157311"," 208098"
"cis-3,4-Dihydroxy-?-ionone","2397509","2101066","3356454","1063730","1786699","1464861"," 191785","  52133"," 103267","1052707"," 737000"," 915704","  27743","  40530","  61055"," 326971"," 157311"," 208098"
"Nitrotyrosine","7048766","6323756","7040474","6261623","4920953","3513421","6454423","3686221","4486564","7297139","8031524","6723308","6094638","5263731","5896665","8030917","8516825","7860300"
"2,6-Dimethoxy-1-acetonylquinol","1473766","1152113","1778954","2721129","1936698","1800304"," 394259"," 290673"," 693754","1364700","1052432"," 846241"," 104382","  40411"," 162046"," 921220"," 512827"," 530534"
"3,4'-Dihydroxy-3',5'-dimethoxypropiophenone","1473766","1152113","1778954","2721129","1936698","1800304"," 394259"," 290673"," 693754","1364700","1052432"," 846241"," 104382","  40411"," 162046"," 921220"," 512827"," 530534"
"Isopropyl 4-Hydroxybenzoate_HCOO","1473766","1152113","1778954","2721129","1936698","1800304"," 394259"," 290673"," 693754","1364700","1052432"," 846241"," 104382","  40411"," 162046"," 921220"," 512827"," 530534"
"Sarracenin","1473766","1152113","1778954","2721129","1936698","1800304"," 394259"," 290673"," 693754","1364700","1052432"," 846241"," 104382","  40411"," 162046"," 921220"," 512827"," 530534"
"11-Hydroxyjasmonic acid","16263561","14393889","16511835"," 1008572"," 1324629"," 1210557"," 1096270","  476545","  411351"," 5973457"," 2650504"," 4038584","  230656","   52824","  258426","   81077","   88942","   67825"
"12-Hydroxyjasmonic acid","16263561","14393889","16511835"," 1008572"," 1324629"," 1210557"," 1096270","  476545","  411351"," 5973457"," 2650504"," 4038584","  230656","   52824","  258426","   81077","   88942","   67825"
"Cyclo(L-Leu-trans-4-hydroxy-L-Pro)","147524","138401","109112","252324","305451","430747","50321","50172","N/F","82609","69413","26451","N/F","N/F","7969","279660","208937","239920"
"ribose 5-phosphate","13073612","11475186","11948712","10170869"," 9861297"," 5785816"," 5226906"," 5442081"," 5710251","10720830","14867545","10334718"," 2742265"," 3930492"," 4072336"," 3131469"," 3889146"," 3674258"
"D-Xylulose 5-phosphate","13073612","11475186","11948712","10170869"," 9861297"," 5785816"," 5226906"," 5593929"," 5710251","10720830","14867545","10334718"," 2742265"," 4057317"," 4072336"," 3131469"," 3889146"," 3674258"
"D-Arabinose 5-phosphate/D-Ribulose 5-phosphate","13073612","11475186","11948712","10170869"," 9861297"," 5785816"," 5226906"," 5593929"," 5710251","10720830","14867545","10334718"," 2742265"," 4057317"," 4072336"," 3131469"," 3889146"," 3674258"
"Echinoynethiophene A","1217477","1638444"," 783558","2081460","1556585","1405539"," 248672"," 303045","  78749"," 708592"," 815420"," 278621","  28515","  53501"," 130926"," 269399"," 141582"," 173176"
"Leu-Val","1224285"," 964457"," 948487","2246526"," 588813","1226216"," 508396"," 229050"," 185911"," 677846"," 406816"," 694799"," 253840"," 246246"," 601837"," 289478"," 248855"," 265656"
"Val-Ile","1224285"," 964457"," 948487","2246526"," 588813","1226216"," 508396"," 229050"," 185911"," 677846"," 406816"," 694799"," 253840"," 246246"," 601837"," 289478"," 248855"," 265656"
"Val-Leu","1224285"," 964457"," 948487","2246526"," 588813","1226216"," 508396"," 229050"," 185911"," 677846"," 406816"," 694799"," 253840"," 246246"," 601837"," 289478"," 248855"," 265656"
"Ile-Val","1224285"," 964457"," 948487","2246526"," 588813","1226216"," 508396"," 229050"," 185911"," 677846"," 406816"," 694799"," 253840"," 246246"," 601837"," 289478"," 248855"," 265656"
"Scopoletin acetate","2705612","N/F","2452917","6650859","5593432","7209029","1281096","369577","1251848","3579431","3836822","2001583","129136","122398","248777","948824","1039389","1451426"
"Cirsiumaldehyde","2705612","N/F","2452917","6650859","5593432","7209029","1281096","369577","1251848","3579431","3836822","2001583","129136","122398","248777","948824","1039389","1451426"
"Cys-Leu","494455","773329","193914","2100354","1364028","1159377","12022","8964","N/F","40824","66619","10023","8365","N/F","9127","10883","N/F","N/F"
"Ile-Cys","494455","773329","193914","2100354","1364028","1159377","12022","8964","N/F","40824","66619","10023","8365","N/F","9127","10883","N/F","N/F"
"Leu-Cys","494455","773329","193914","2100354","1364028","1159377","12022","8964","N/F","40824","66619","10023","8365","N/F","9127","10883","N/F","N/F"
"Cys-Ile","494455","773329","193914","2100354","1364028","1159377","12022","8964","N/F","40824","66619","10023","8365","N/F","9127","10883","N/F","N/F"
"1,3,5-Cadinatriene-3,8-diol","7401292","6837360","6612463","7888645","8301997","8244317","7905725","7169727","8067935","7299720","8144249","8027950","7640701","8388858","7831858","8462972","8133169","7419653"
"9-Oxoageraphorone","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"?-Rotunol","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"Artemisinic acid","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"Germacrone 4,5-epoxide","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"Isocostic acid","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"Ligucyperonol","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"Prehelminthosporolactone","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"Pterodontic acid","7410461","6820371","7159243","8550066","8373588","8251652","8230033","7632545","8703500","8188108","8198610","8142760","8452048","8334854","8539326","7647204","8388137","8169827"
"5,7,8-Trimethoxycoumarin","3295540","2472313","2436547","3151183","2910101","3266644","2607799","2201940","2591398","2104893","1909582","1659394","2776931","2446255","2263981","1755867","1760225","1881671"
"6,7,8-Trimethoxycoumarin","3295540","2472313","2436547","3151183","2910101","3266644","2607799","2201940","2591398","2104893","1909582","1659394","2776931","2446255","2263981","1755867","1760225","1881671"
"Di-O-methylfraxetin","3295540","2472313","2436547","3151183","2910101","3266644","2607799","2201940","2591398","2104893","1909582","1659394","2776931","2446255","2263981","1755867","1760225","1881671"
